n_group,n_partitions,num_div_y,num_div_x
407,1,285.0,90.0
408,1,93.0,276.0
409,1,222.0,117.0
410,1,99.0,264.0
411,1,96.0,276.0
412,1,267.0,102.0
413,1,102.0,288.0
414,1,27.0,1104.0
415,1,123.0,279.0
416,1,126.0,279.0
417,1,129.0,291.0
418,1,267.0,147.0
419,1,153.0,267.0
420,1,162.0,273.0
421,1,198.0,225.0
422,1,168.0,285.0
423,1,81.0,624.0
424,1,153.0,333.0
425,1,915.0,57.0
426,1,867.0,63.0
427,1,189.0,291.0
428,1,69.0,819.0
429,1,210.0,270.0
430,1,174.0,345.0
431,1,168.0,366.0
432,1,162.0,381.0
433,1,240.0,279.0
434,1,279.0,267.0
435,1,216.0,345.0
436,1,792.0,99.0
437,1,549.0,165.0
438,1,1230.0,90.0
439,1,57.0,2115.0
440,1,111.0,1101.0
441,1,399.0,369.0
442,1,546.0,270.0
443,1,243.0,663.0
444,1,147.0,1467.0
445,1,333.0,699.0
446,1,150.0,1815.0
447,1,684.0,633.0
448,1,483.0,903.0
449,1,564.0,996.0
450,1,927.0,1053.0
451,1,2544.0,399.0
452,1,687.0,1695.0
453,7,2595.0,540.0
454,1,2595.0,549.0
455,2,1038.0,1416.0
456,1,1038.0,1419.0
457,3,2127.0,732.0
458,1,2127.0,735.0
