group_0,partition_0,interface_position_0,group_1,partition_1,interface_position_1,unit_type,device_group,device_group_0,device_group_1,interface_qty
48,13,0.0,17,0,63.0,1,0,0,0,63.0
48,1,0.0,8,0,0.0,1,0,0,0,63.0
48,10,0.0,37,0,273.0,1,0,0,0,63.0
48,7,0.0,7,0,0.0,1,0,0,0,63.0
48,3,0.0,24,52,0.0,1,0,0,0,21.0
48,9,0.0,24,1,0.0,1,0,0,0,21.0
48,14,0.0,8,1,0.0,1,0,0,0,63.0
48,0,0.0,24,34,0.0,1,0,0,0,21.0
48,2,0.0,8,4,0.0,1,0,0,0,63.0
48,5,0.0,24,57,0.0,1,0,0,0,21.0
48,12,0.0,24,25,0.0,1,0,0,0,21.0
48,11,0.0,8,3,0.0,1,0,0,0,63.0
48,6,0.0,4,0,0.0,1,0,0,0,63.0
48,8,0.0,24,35,0.0,1,0,0,0,21.0
49,0,0.0,14,0,0.0,1,0,0,0,63.0
50,3,0.0,17,4,0.0,1,0,0,0,63.0
50,2,0.0,19,0,63.0,1,0,0,0,63.0
50,1,0.0,37,0,210.0,1,0,0,0,63.0
50,0,0.0,17,0,0.0,1,0,0,0,63.0
51,0,630.0,39,3,0.0,1,0,0,0,42.0
51,0,525.0,0,12,0.0,1,0,0,0,105.0
51,0,0.0,33,0,0.0,1,0,0,0,336.0
51,0,336.0,17,1,0.0,1,0,0,0,189.0
53,0,378.0,28,1,0.0,1,0,0,0,231.0
53,0,0.0,43,0,63.0,1,0,0,0,378.0
53,0,714.0,39,12,0.0,1,0,0,0,42.0
53,0,609.0,0,3,0.0,1,0,0,0,105.0
54,0,0.0,2,0,651.0,1,0,0,0,84.0
54,1,0.0,39,6,0.0,1,0,0,0,42.0
55,2,0.0,16,0,0.0,1,0,0,0,84.0
55,1,0.0,2,0,735.0,1,0,0,0,84.0
55,0,0.0,39,2,0.0,1,0,0,0,42.0
55,3,0.0,39,26,0.0,1,0,0,0,42.0
56,0,0.0,39,16,0.0,1,0,0,0,42.0
56,1,0.0,39,17,0.0,1,0,0,0,42.0
57,0,672.0,0,7,0.0,1,0,0,0,105.0
57,0,0.0,43,1,0.0,1,0,0,0,441.0
57,0,777.0,39,8,0.0,1,0,0,0,42.0
57,0,441.0,28,0,0.0,1,0,0,0,231.0
