area,x1,x2,y1,y2,x,y,color,label,dim_x,dim_y,dim_x_y_code,device_group,gi,gj
441.0,16443.0,16464.0,9450.0,9471.0,16453.5,9460.5,#acc2d9,0_15,21.0,21.0,21.0_21.0,0,24,40
441.0,15099.0,15120.0,10311.0,10332.0,15109.5,10321.5,#56ae57,0_112,21.0,21.0,21.0_21.0,1,29,20
441.0,2646.0,2667.0,2352.0,2373.0,2656.5,2362.5,#56ae57,0_94,21.0,21.0,21.0_21.0,1,29,21
441.0,11781.0,11802.0,8379.0,8400.0,11791.5,8389.5,#56ae57,0_89,21.0,21.0,21.0_21.0,1,29,22
441.0,17934.0,17955.0,1659.0,1680.0,17944.5,1669.5,#acc2d9,0_79,21.0,21.0,21.0_21.0,0,24,41
441.0,16044.0,16065.0,9702.0,9723.0,16054.5,9712.5,#56ae57,0_35,21.0,21.0,21.0_21.0,1,29,23
441.0,11949.0,11970.0,9156.0,9177.0,11959.5,9166.5,#56ae57,0_124,21.0,21.0,21.0_21.0,1,29,24
441.0,2436.0,2457.0,9072.0,9093.0,2446.5,9082.5,#56ae57,0_99,21.0,21.0,21.0_21.0,1,29,25
441.0,2541.0,2562.0,8127.0,8148.0,2551.5,8137.5,#56ae57,0_102,21.0,21.0,21.0_21.0,1,29,26
441.0,2373.0,2394.0,9009.0,9030.0,2383.5,9019.5,#56ae57,0_41,21.0,21.0,21.0_21.0,1,29,27
441.0,2541.0,2562.0,2289.0,2310.0,2551.5,2299.5,#56ae57,0_115,21.0,21.0,21.0_21.0,1,29,28
441.0,15162.0,15183.0,10269.0,10290.0,15172.5,10279.5,#56ae57,0_140,21.0,21.0,21.0_21.0,1,29,29
441.0,17724.0,17745.0,8631.0,8652.0,17734.5,8641.5,#acc2d9,0_20,21.0,21.0,21.0_21.0,0,24,42
441.0,12012.0,12033.0,1449.0,1470.0,12022.5,1459.5,#acc2d9,0_76,21.0,21.0,21.0_21.0,0,24,43
441.0,11949.0,11970.0,1512.0,1533.0,11959.5,1522.5,#acc2d9,0_54,21.0,21.0,21.0_21.0,0,24,44
441.0,11886.0,11907.0,2205.0,2226.0,11896.5,2215.5,#56ae57,0_1,21.0,21.0,21.0_21.0,1,29,30
441.0,11823.0,11844.0,8316.0,8337.0,11833.5,8326.5,#56ae57,0_0,21.0,21.0,21.0_21.0,1,29,31
441.0,11928.0,11949.0,2268.0,2289.0,11938.5,2278.5,#56ae57,0_52,21.0,21.0,21.0_21.0,1,29,32
441.0,11865.0,11886.0,1617.0,1638.0,11875.5,1627.5,#acc2d9,0_60,21.0,21.0,21.0_21.0,0,24,45
441.0,17787.0,17808.0,8589.0,8610.0,17797.5,8599.5,#acc2d9,0_30,21.0,21.0,21.0_21.0,0,24,46
441.0,19068.0,19089.0,7770.0,7791.0,19078.5,7780.5,#acc2d9,0_64,21.0,21.0,21.0_21.0,0,24,47
